Date,Simulated TDS,Threshold,Output
1960-09-11,169.7148713,170,0.096336
1960-09-12,169.7830695,170,0.096336
1960-09-13,169.8509736,170,0.096336
1960-09-14,169.9185231,170,0.096336
1960-09-15,169.985599,170,0.096336
1960-09-16,170.0524732,170,0.096336
1960-09-17,170.0658963,170,0
1960-09-18,170.1314316,170,0
1960-09-19,170.1967131,170,0
1960-09-20,170.2619271,170,0
1960-09-21,170.3266254,170,0
1960-09-22,170.3911766,170,0
1960-09-23,170.4553454,170,0
1960-09-24,170.5191316,170,0
1960-09-25,170.5826035,170,0
1960-09-26,170.6455145,170,0
1960-09-27,170.7083021,170,0
1960-09-28,170.7710215,170,0
1960-09-29,170.8335086,170,0
1960-09-30,170.8957472,170,0
1960-10-01,170.9418251,170,0
1960-10-02,171.0043277,170,0
1960-10-03,171.0668748,170,0
1960-10-04,171.1294538,170,0
1960-10-05,171.1918225,170,0
1960-10-06,171.2160178,170,0
1960-10-07,171.2454066,170,0
1960-10-08,171.2781486,170,0
1960-10-09,171.3142187,170,0
1960-10-10,171.3529451,170,0
1960-10-11,171.394869,170,0
1960-10-12,171.4397702,170,0
1960-10-13,171.4874001,170,0
1960-10-14,171.5383298,170,0
1960-10-15,171.59159,170,0
1960-10-16,171.6474488,170,0
1960-10-17,171.7060635,170,0
1960-10-18,171.7667561,170,0
1960-10-19,171.8308977,170,0
1960-10-20,171.8970885,170,0
1960-10-21,171.9650966,170,0
1960-10-22,172.0345156,170,0
1960-10-23,172.1060067,170,0
1960-10-24,172.1791922,170,0
1960-10-25,172.1960969,170,0
1960-10-26,172.2220525,170,0
1960-10-27,172.2545622,170,0
1960-10-28,172.2922671,170,0
1960-10-29,172.3374079,170,0
1960-10-30,172.3898479,170,0
1960-10-31,172.4476488,170,0
1960-11-01,172.534711,170,0
1960-11-02,172.6202274,170,0
1960-11-03,172.7047494,170,0
1960-11-04,172.7884089,170,0
